title,desc,image,url,source,date,ru_title,ru_desc
车上掐死烧尸3天 男子控杀女工程师,31岁美女工程师惨遭杀害弃尸林厝港一案，今早在高庭开审，揭露被告是“冷酷无情”的骗子，假装是拥有洗衣店生意的离婚汉，对女工程师骗财骗色。女工程师揭发被告的谎言，要到洗衣店找他对峙，半路遭被告拦截，在车上将她活活掐死，之后弃尸荒野，花三天焚烧尸体，毁尸灭迹。今年50岁的被告邱贵福面对一项谋杀罪名，他并不认罪，案件今早开审，一共12天。,https://www.zaobao.com.sg/sites/default/files/styles/og_share_medium/public/images/201903/20190312/20190312_laundry_murder.jpg?itok=JOQ9UVxB&c=bd978c295f365d447c37b6b45246bf23,https://www.zaobao.com.sg/znews/singapore/story20190312-939352?utm_medium=social&utm_source=facebook#echobox=1552379048,Zaobao,20190313,"Мужчину обвиняют в убийстве женщины-инженера после того, как он душил и сжигал труп в машине в течение 3 дней","Дело 31-летней женщины-инженера, которая была зверски убита и брошена в Лим Чу Канге, слушалось этим утром в Высоком суде, и выяснилось, что ответчик был «безжалостным» лжецом, который притворялся разведенным мужчиной, владевшим прачечный бизнес, чтобы обмануть женщину-инженера на деньги и секс. Женщина-инженер разоблачила ложь подсудимого и хотела противостоять ему в прачечной, но была остановлена ​​ответчиком на полпути, задушила ее до смерти в машине, а затем выбросила ее тело в пустыне и провела три дня, сжигая тело дотла. уничтожьте это. 50-летнему подсудимому Цю Гуйфу предъявили обвинение в одном убийстве. Он не признал себя виновным. Дело было возбуждено сегодня утром и длилось в общей сложности 12 дней."
台東縣震災搶救訓練模擬36小時救災,台東縣消防局這個月輪值台灣國際人道救援任務，特別規畫救災訓練課程，其中有兩天一夜的地震災害搶救課程，經過36個小時不眠不休模擬救。...,https://news.pts.org.tw/news_images/428896/1555307670o.jpg,https://news.pts.org.tw/article/428896,PTS.org.tw,20190415,Обучение спасателей после землетрясения в округе Тайдун имитирует 36-часовую помощь при стихийных бедствиях,"В этом месяце пожарная служба округа Тайдун дежурит для международных гуманитарных спасательных миссий Тайваня и специально запланированных учебных курсов по оказанию помощи при стихийных бедствиях, включая двухдневный однодневный курс по спасению при землетрясении, который имитировал спасение после 36 часов непрерывного сна. . ..."
贫富差距和阶级分化：南加大学生的真实生活,南加大致力于招收不同背景的学生，在种族和社会经济构成多样性方面卓有成效。但金钱与地位仍是这座校园日常生活的一部分，贫富差距的鸿沟决定了学生校园体验的不同。,https://static01.nyt.com/images/2019/04/01/us/00divide1/merlin_152918448_b378295e-0936-4417-bd10-7bed7adcb6c2-articleLarge.jpg,https://cn.nytimes.com/usa/20190404/usc-admissions-scandal-students/,NYTimes,20190404,Разрыв в уровне благосостояния и классовый разрыв: реальная жизнь студентов Университета Южной Калифорнии,"USC стремится набирать студентов из разных слоев общества и добился успеха с точки зрения расового и социально-экономического разнообразия. Но деньги и статус по-прежнему являются частью повседневной жизни этого кампуса, и разрыв между богатыми и бедными определяет разницу в опыте студентов в кампусе."
欧洲大选给中国企业敲响警钟,宋欣：基于欧盟此前的一系列动作，结合竞选期间的观察，欧盟在对华问题的趋势上，将呈现“一松一紧、一攻一守、一进一退”的态势。,http://i.ftimg.net/picture/7/000086477_piclink.jpg,http://www.ftchinese.com/story/001082936,FT,20190529,Европейские выборы звучат тревожным звонком для китайских компаний,"Сун Синь: Основываясь на предыдущих действиях ЕС в сочетании с наблюдениями во время избирательной кампании, ЕС продемонстрирует тенденцию к «расслаблению и ужесточению, нападению и защите, наступлению и отступлению» в вопросе Китая."
快訊》「柯侯」合體破局  新北市府：侯友宜腰傷不克出席,「雙北合作交流平台」今（23）日登場，台北市長柯文哲與新北市長侯友宜原本預定在市長層級會議合體，這也是新上任的侯友宜首度與柯文哲進行「柯侯會」，在新北市瑞芳區深澳舉辦。不過，新北市政府新聞局長蔣志薇表示，由於侯友宜從過年期間彎腰發紅包，造成腰部拉傷，近日又頻繁跑行程，導致昨晚上腰傷加重，醫師告誡侯要,https://newtalk.tw/resize_action2/s.newtalk.tw/album/news/210/5c6b759316bee.jpg?imgmax=800,https://newtalk.tw/news/view/2019-02-23/211188,NewTalk.tw,20190224,"«Новости» «Ке Хоу» объединились, чтобы сломать игру Мэрия Нью-Тайбэя: Хоу Юи повредил спину и не может присутствовать","«Платформа сотрудничества и обмена Шуанбэй» дебютировала сегодня (23).Мэр Тайбэя Кэ Вэньчжэ и мэр Нового Тайбэя Хоу Юи изначально планировали встретиться на встрече на уровне мэров, которая состоялась в Шэньчжэне и Макао, округ Фанг. Однако Цзян Чживэй, директор Информационного бюро городского правительства Нового Тайбэя, сказал, что из-за того, что Хоу Юи наклонялся, чтобы раздать красные конверты во время китайского Нового года, что вызывало напряжение в талии, а в последнее время он часто бегал, травма талии ухудшилась в последнюю очередь. ночь Доктор предупредил Хоу"
金正恩終極目標: 2020年擁核經濟強國,韓國期待朝鮮領袖金正恩訪問首爾以及美國總統特朗普醞釀與金正恩二度首腦會談之際，韓國數據，文本，系統動力和心理多領域學者聯合研究，得出朝鮮領袖金正恩有在朝鮮建立強大核武器以及經濟體制的雄心壯志，並警告朝鮮或不可能棄核。,http://scd.cn.rfi.fr/sites/chinese.filesrfi/imagecache/rfi_16x9_1024_578/sites/images.rfi.fr/files/aef_image/2018-12-28t212029z_134050280_rc1de6fd3960_rtrmadp_3_northkorea-politics.jpg,http://trad.cn.rfi.fr/%E4%BA%9E%E6%B4%B2/20190105-%E9%87%91%E6%AD%A3%E6%81%A9%E7%B5%82%E6%A5%B5%E7%9B%AE%E6%A8%99-2020%E5%B9%B4%E6%93%81%E6%A0%B8%E7%B6%93%E6%BF%9F%E5%BC%B7%E5%9C%8B?ref=tw_i,RFI.fr,20190106,"Конечная цель Ким Чен Ына: стать экономической державой, обладающей ядерным оружием, к 2020 году.","Южная Корея с нетерпением ждет визита северокорейского лидера Ким Чен Ына в Сеул, а президент США Трамп готовится ко второй встрече на высшем уровне с Ким Чен Ыном. что северокорейский лидер Ким Чен Ын установил в Северной Корее мощное ядерное оружие и амбициозную экономическую систему, а также предупредил, что Северная Корея, возможно, не сможет провести денуклеаризацию."
加拿大官方证实康明凯遭中国拘押,加拿大全球事务部发言人Guillaume Bérubé 在回复本台查询的电子邮件中表示：我们知道这位加拿大公民在中国受到拘押。我们已直接向中国当局提出此案。,https://www.rfa.org/mandarin/Xinwen/2-12112018141710.html/121.jpg,https://www.rfa.org/mandarin/Xinwen/2-12112018141710.html,RFA,20181212,"Канадские официальные лица подтверждают, что Ковриг был задержан Китаем","Представитель Министерства по международным делам Канады Гийом Берубе сказал в ответ на наши запросы по электронной почте: «Нам известно, что этот гражданин Канады содержится под стражей в Китае. Мы подняли этот вопрос непосредственно перед китайскими властями."
「沒有戰爭 台灣就贏」 他這樣批評「主張台灣獨立」,繼19日以「穩健」為由，公開力挺總統蔡英文競選連任後，政大教授陳芳明今天(20日)再度在臉書上以「沒有戰爭，台灣就贏」為題發文，直指「主張台灣獨立，都是在騙取選票」。陳芳明說：「台灣能夠升格成為亞洲重要的國家，完全是憑恃島上的民主生活。台灣可以選舉總統，享有言論自由，台灣也更是亞洲第一個實現婚姻平權,https://newtalk.tw/resize_action2/s.newtalk.tw/album/news/223/5c91f1805bb0e.jpg?imgmax=800,https://newtalk.tw/news/view/2019-03-20/222608,NewTalk.tw,20190321,"«Тайвань победит, если не будет войны, — раскритиковал он, — выступая за независимость Тайваня».","После публичной поддержки кампании по переизбранию президента Цай Инвэнь на основании «постоянства» 19-го числа Чэнь Фанмин, профессор Национального университета Чэнчи, сегодня (20-го числа) снова опубликовал в Facebook статью под заголовком «Тайвань будет победить без войны», прямо указывая на то, что «защита независимости Тайваня — это мошенничество с голосами». Чэнь Фанмин сказал: «Стремление Тайваня стать важной страной в Азии полностью связано с демократической жизнью на острове. Тайвань может избирать президента и пользоваться свободой слова. Тайвань также первым в Азии добился равенства в браке."
民主党总统参选人各持怎样的中国政策?,本周，20名民主党总统参选人在密西根州底特律市展开了为期两晚的第二轮辩论，虽然辩论主要集中于美国国内议题，但中国问题，尤其是美中贸易政策问题还是屡屡出现在参选人的言辞交锋之间。随着选战的推进，各位参选人在中国问题上的立场和政策也在逐步明晰。,https://gdb.voanews.com/196C6134-175D-42AF-AE5B-8F4242E3DBBA_w1200_r1_s.jpg,https://www.voachinese.com/a/democratic-candidates-on-china-20190802/5025458.html,VOA,20190803,Какова политика кандидатов в президенты от Демократической партии в Китае?,"На этой неделе 20 кандидатов в президенты от Демократической партии начали двухдневный второй раунд дебатов в Детройте, штат Мичиган.Хотя дебаты в основном были сосредоточены на внутренних проблемах в Соединенных Штатах, вопросы Китая, особенно вопросы торговой политики США и Китая, неоднократно поднимались. Между риторикой кандидатов. По ходу кампании позиции и политика кандидатов по китайскому вопросу постепенно прояснялись."
非洲豬瘟肆虐 越南獸醫局建議發布緊急狀態,越南的非洲豬瘟疫情迅速蔓延，至今已有 55 個省市淪陷。越南獸醫局表示，疫情可能繼續擴大，將「覆蓋」全國 63 個省市，造成嚴重經濟損失，（政府）可以考慮發布國家緊急狀態。,https://cdn.taronews.tw/files/2018/03/vietnam-1242275_1280.jpg,https://taronews.tw/2019/06/13/370267/,芋傳媒,20190614,"Бушует африканская чума свиней, ветеринарный департамент Вьетнама рекомендует объявить чрезвычайное положение","Эпидемия африканской чумы свиней во Вьетнаме быстро распространилась, и к настоящему времени пострадало 55 провинций и городов. Департамент ветеринарии Вьетнама заявил, что эпидемия может продолжать расширяться и «охватить» 63 провинции и города по всей стране, что приведет к серьезным экономическим потерям, и (правительство) может рассмотреть возможность введения чрезвычайного положения."
國台圖首名駐館作家 王瓊玲分享人間溫暖情事,研究古典小說又擁有多元創作的學者作家王瓊玲，接受國立台灣圖書館特聘擔任首名駐館作家。在戲劇、小說、散文間創作轉換悠然，她分享創作，是想把人間良善溫暖找出來。,https://cdn.taronews.tw/files/2019/08/20190814PHO0095l.jpg,https://taronews.tw/2019/08/14/433800/,芋傳媒,20190815,Первый постоянный писатель China Taiwan Media Ван Цюнлин поделился теплотой мира,"Ван Цюнлин, ученый и писатель, изучающий классические романы и написавший множество произведений, принимает специальное назначение Национальной тайваньской библиотеки в качестве первого писателя-резидента. Неторопливо переключаясь между драмой, романом и прозой, она делилась своим творением, чтобы познать доброту и теплоту в мире."
澎湖糜蝦死亡 水試所研判與季節海潮有關,澎湖馬公中衛海域沿岸昨天有大量糜蝦死亡，水試所澎湖海生中心主任謝恆毅表示，糜蝦屬浮游生物，由於活動力不大，研判在春天季節隨海潮或是獵食者追捕等有關，導致擱淺致死。,https://cdn.taronews.tw/files/2019/03/20190318PHO0074l.jpg,https://taronews.tw/2019/03/18/284460/,芋傳媒,20190319,Гибель шипровой креветки Пэнху связана с сезонным приливом,"Большое количество креветок погибло вчера у берегов Чжунвэй, Магун, Пэнху. Се Хэнъи, директор Центра морской жизни Пэнху Института водных исследований, сказал, что креветки относятся к планктону. Из-за их низкой активности установлено, что они следуют за течением или весной на них охотятся хищники, что приводит к гибели в результате выброса на мель."
抗議、示威都沒用，要如何讓世衛看見台灣？姜冠宇揭露新公民外交計畫,第72屆世界衛生大會（WHA）即將在5月20日召開，儘管英、美、歐盟、加拿大等國家陸續表態聲援台灣與會，但世界衛生組織（WHO）始終維持一貫的回應，沒有兩岸和解就不會邀請台灣。當以外交部為首的政府部會積極呼籲國際促成台灣參加WHA時，去年倚靠集資將我國醫療軟實力帶到日內瓦的一群人, https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2019/04/12/20190412-070609_U12879_M512480_94c9.jpg?itok=TF6xOO2V,https://www.storm.mg/article/1183869,風傳媒,20190420,"Протесты и демонстрации бесполезны, каким может быть Тайвань для ВОЗ? Цзян Гуаньюй раскрывает новый план гражданской дипломатии","72-я сессия Всемирной ассамблеи здравоохранения (ВАЗ) состоится 20 мая. Хотя Соединенное Королевство, Соединенные Штаты, Европейский союз, Канада и другие страны последовательно выражали свою поддержку участию Тайваня в этой встрече, Всемирная организация здравоохранения (ВОЗ ) всегда поддерживал последовательный ответ.Без примирения по обе стороны пролива не будет никакого Тайваня не будет приглашен. Когда правительственные министерства во главе с Министерством иностранных дел активно призывали международное сообщество содействовать участию Тайваня в ВАЗ, группа людей, которые полагались на сбор средств, чтобы принести медицинскую мягкую силу моей страны в Женеву в прошлом году"
美国“太空部队”提案上交国会,"美国官员表示，五角大厦已于3月1日向国会提案，成立全球第一支“太空部队”。 
 法新社报道说，这是应美国总统川普的要求所采取的作法。 
 依照目前计划，太空部队将是美军的独立军种，但受空军节制。将是美国的第6个",/english/images/rfa-logo-400.jpg,https://www.rfa.org/mandarin/Xinwen/1-03032019124725.html,RFA,20190304,Предложение США о создании космических сил направлено в Конгресс,"Официальные лица США заявили, что 1 марта Пентагон предложил Конгрессу создать первые в мире «космические силы».
 Agence France-Presse сообщило, что это было сделано по просьбе президента США Трампа.
 Согласно текущим планам, Космические силы будут независимой службой вооруженных сил США, но будут контролироваться ВВС. Будет 6-м в Америке"
回应美报告？中国：5个月解救外籍妇女1130名,继美国发布报告指中国人口贩卖情况严重后，中国公安部21日表示，中国与另外5个东南亚国家在一项打击拐卖人口的联合行动中，解救了1100多名被拐卖的外籍妇女和17名儿童。  中国公安部新闻发言人郭林介绍说，近年来，一些,/english/images/rfa-logo-400.jpg,https://www.rfa.org/mandarin/Xinwen/d-06212019143712.html,RFA,20190622,Ответ на доклад США? Китай: за 5 месяцев спасено 1130 иностранок,"После того, как Соединенные Штаты опубликовали отчет, в котором говорится, что ситуация с торговлей людьми в Китае является серьезной, Министерство общественной безопасности Китая заявило 21-го числа, что Китай и пять других стран Юго-Восточной Азии спасли более 1100 женщин-иностранок, ставших жертвами торговли людьми, и 17 человек в совместная операция против торговли людьми ребенок. Го Линь, представитель Министерства общественной безопасности Китая, сказал, что в последние годы некоторые"
堅持原初選制度 羅文嘉：卓榮泰選擇向歷史負責,民進黨總統初選制度僵局未解，民進黨秘書長羅文嘉今天表示，要為黨主席卓榮泰加油，當選擇向歷史與制度負責時，他是感動的，當選擇人煙稀少這條路時，他一定會陪，其實不是因為卓榮泰，因為一樣的信仰。,https://cdn.taronews.tw/files/2019/05/S__25427977.jpg,https://taronews.tw/2019/05/24/350775/,芋傳媒,20190525,Придерживаться первоначальной системы первичных выборов Луо Вэньцзя: Чжо Жунтай решил взять на себя ответственность перед историей,"Тупик в системе первичных президентских выборов ДПП до сих пор не решен.Генеральный секретарь ДПП Луо Вэньцзя заявил сегодня, что он должен поддержать председателя партии Чжо Жунтая.Он был тронут, когда решил нести ответственность за историю и систему.Когда он выбрал малонаселенная дорога Он обязательно будет сопровождать его, когда мы будем вместе, не из-за Чжо Жунтая, а из-за той же веры."
年金改革節省60.7億元 全數挹注退撫基金,公務人員年金改革去年 7 月 1 日上路，銓敘部今天表示， 2018 年下半年度，中央和各地方政府可節省經費合計 60 億 7000 萬餘元，將全數挹注退撫基金，今天已陳報考試院院會審查通過，後續將函請行政院會同確定。,https://cdn.taronews.tw/files/2018/09/20180907PHO0022l.jpg,https://taronews.tw/2019/02/21/261521/,芋傳媒,20190222,"Аннуитетная реформа сэкономила 6,07 млрд юаней, и все они будут вложены в пенсионный фонд.","Пенсионная реформа для государственных служащих началась 1 июля прошлого года.Министерство государственной службы заявило сегодня, что во второй половине 2018 года центральные и местные органы власти могут сэкономить в общей сложности более 6,07 млрд юаней денежных средств, что будут полностью вложены в пенсионный фонд.Отчет был представлен сегодня.Суд рассмотрит и утвердит его, а затем направит письмо в исполнительный юань для подтверждения."
大學申請過一階人次暴增 教團籲調整學測級分,教團今天表示， 2019 年度大學個人申請通過一階篩選人次遠大於預期，可能導致二階甄試錄取率大幅降低，呼籲教育部透過調整學測級分等配套來解決同分增額亂象。,https://cdn.taronews.tw/files/2019/03/20190331PHO0045l.jpg,https://taronews.tw/2019/03/31/296499/,芋傳媒,20190401,Резко увеличилось количество абитуриентов,"Религиозная группа заявила сегодня, что количество отдельных абитуриентов, прошедших первый этап отбора в 2019 году, было намного больше, чем ожидалось, что может привести к резкому падению уровня приема на второй этап отбора."
新新聞》「貨出人進」政績有點虛，韓國瑜棄市長選總統正當性不足,國民黨主席吳敦義保留總統提名人二階段徵召可能，讓高雄市長韓國瑜選總統的話題持續延燒。對此，地方認為，韓國瑜在地方上必須奠定影響長遠的政績，才能抵銷日後對手的「相罵本」。據ＴＶＢＳ二月二十一日發布民調，高達五六％高雄人不支持韓國瑜選總統。「若韓市長當不滿兩百天就要去選，對投給他的高, https://image.cache.storm.mg/styles/smg-800x533-fp/s3/media/image/2019/03/06/20190306-032425_U8719_M503604_ff93.JPG?itok=qkpFlIOE,https://www.storm.mg/article/1029651,風傳媒,20190307,"«Новые новости» «Товары приходят, а люди приходят» политические достижения немного фальшивы, а отказ Хань Гоюй от мэра баллотироваться на пост президента недостаточно законен.","Председатель Гоминьдана У Дуньи зарезервировал возможность второго этапа объявления кандидата в президенты, что продолжало разжигать тему президентских выборов мэра Гаосюна Хань Го-юя. В связи с этим местное правительство считает, что Хань Гоюй должен установить долгосрочные политические достижения на местном уровне, чтобы в будущем нивелировать «криминальную базу» своих противников. Согласно опросу, опубликованному TVBS 21 февраля, целых 56% жителей Гаосюна не поддерживают избрание Хань Го-юя президентом. «Мэр Руохан будет избран менее чем через 200 дней."
共軍遼寧號通過台海北返  國防部：全程掌控,國防部今天針對共軍航空母艦遼寧號通過台灣海峽北返表示，期間國軍運用聯合情監偵均能全程掌控與應處，確保國家安全與區域穩定，籲請國人放心。蘋果日報今天報導，共軍航空母艦遼寧號及護航編隊通過東沙島附近海域，根據遼寧號的航速計算，預計晚上即可駛出台灣海峽，返回青島母港，完成遼寧號去年大修後的首次繞台航訓。國,https://newtalk.tw/resize_action2/s.newtalk.tw/album/news/122/5ad8211b969e1.jpg?imgmax=800,https://newtalk.tw/news/view/2019-06-25/264345,NewTalk.tw,20190626,Коммунистическая армия Ляонин прошла через Тайвань и вернулась к Министерству национальной обороны: полный контроль,"Министерство национальной обороны заявило сегодня, что коммунистический авианосец ""Ляонин"" вернулся на север через Тайваньский пролив.В этот период национальная армия использовала совместную разведку, наблюдение и рекогносцировку для контроля и реагирования на протяжении всего процесса для обеспечения национальной безопасности и региональной стабильности. Apple Daily сообщила сегодня, что авианосец НОАК «Ляонин» и флот его сопровождения прошли воды вблизи острова Дунша.Согласно расчетам, основанным на скорости «Ляонина», ожидается, что вечером он выйдет из Тайваньского пролива и вернется в Циндао. порт. страна"
